template_code,type_id,sub_id,label,outbound_play_code,bet_mode,sort_order
ssc_std,zhong3,zhong3_zuxuan_bd,中三组选包胆,ssc_std:zhong3:zhong3_zuxuan_bd,baodan,9
ssc_std,zhong3,zhong3_hunhe_zx,中三混合组选,ssc_std:zhong3:zhong3_hunhe_zx,hunhe,10
ssc_std,zhong3,zhong3_hz_weishu,中三和值尾数,ssc_std:zhong3:zhong3_hz_weishu,weishu,11
ssc_std,zhong3,zhong3_teshu,中三特殊号,ssc_std:zhong3:zhong3_teshu,teshu,12
ssc_std,hou3,hou3_zhixuan_fs,后三直选复式,ssc_std:hou3:hou3_zhixuan_fs,fushi,1
ssc_std,hou3,hou3_zhixuan_ds,后三直选单式,ssc_std:hou3:hou3_zhixuan_ds,danshi,2
ssc_std,hou3,hou3_zhixuan_hz,后三直选和值,ssc_std:hou3:hou3_zhixuan_hz,hezhi,3
ssc_std,hou3,hou3_zhixuan_kd,后三直选跨度,ssc_std:hou3:hou3_zhixuan_kd,kuadu,4
ssc_std,hou3,hou3_zuhe,后三组合,ssc_std:hou3:hou3_zuhe,zuhe,5
ssc_std,hou3,hou3_zu3,后三组三,ssc_std:hou3:hou3_zu3,zu3,6
ssc_std,hou3,hou3_zu6,后三组六,ssc_std:hou3:hou3_zu6,zu6,7
ssc_std,hou3,hou3_zuxuan_hz,后三组选和值,ssc_std:hou3:hou3_zuxuan_hz,hezhi,8
ssc_std,hou3,hou3_zuxuan_bd,后三组选包胆,ssc_std:hou3:hou3_zuxuan_bd,baodan,9
ssc_std,hou3,hou3_hunhe_zx,后三混合组选,ssc_std:hou3:hou3_hunhe_zx,hunhe,10
ssc_std,hou3,hou3_hz_weishu,后三和值尾数,ssc_std:hou3:hou3_hz_weishu,weishu,11
ssc_std,hou3,hou3_teshu,后三特殊号,ssc_std:hou3:hou3_teshu,teshu,12
ssc_std,qian2,qian2_zhixuan_fs,前二直选复式,ssc_std:qian2:qian2_zhixuan_fs,fushi,1
ssc_std,qian2,qian2_zhixuan_ds,前二直选单式,ssc_std:qian2:qian2_zhixuan_ds,danshi,2
ssc_std,qian2,qian2_zhixuan_hz,前二直选和值,ssc_std:qian2:qian2_zhixuan_hz,hezhi,3
ssc_std,qian2,qian2_zhixuan_kd,前二直选跨度,ssc_std:qian2:qian2_zhixuan_kd,kuadu,4
ssc_std,qian2,qian2_zuxuan_fs,前二组选复式,ssc_std:qian2:qian2_zuxuan_fs,fushi,5
ssc_std,qian2,qian2_zuxuan_ds,前二组选单式,ssc_std:qian2:qian2_zuxuan_ds,danshi,6
ssc_std,qian2,qian2_zuxuan_hz,前二组选和值,ssc_std:qian2:qian2_zuxuan_hz,hezhi,7
ssc_std,qian2,qian2_zuxuan_bd,前二组选包胆,ssc_std:qian2:qian2_zuxuan_bd,baodan,8
ssc_std,hou2,hou2_zhixuan_fs,后二直选复式,ssc_std:hou2:hou2_zhixuan_fs,fushi,1
ssc_std,hou2,hou2_zhixuan_ds,后二直选单式,ssc_std:hou2:hou2_zhixuan_ds,danshi,2
ssc_std,hou2,hou2_zhixuan_hz,后二直选和值,ssc_std:hou2:hou2_zhixuan_hz,hezhi,3
ssc_std,hou2,hou2_zhixuan_kd,后二直选跨度,ssc_std:hou2:hou2_zhixuan_kd,kuadu,4
ssc_std,hou2,hou2_zuxuan_fs,后二组选复式,ssc_std:hou2:hou2_zuxuan_fs,fushi,5
ssc_std,hou2,hou2_zuxuan_ds,后二组选单式,ssc_std:hou2:hou2_zuxuan_ds,danshi,6
ssc_std,hou2,hou2_zuxuan_hz,后二组选和值,ssc_std:hou2:hou2_zuxuan_hz,hezhi,7
ssc_std,hou2,hou2_zuxuan_bd,后二组选包胆,ssc_std:hou2:hou2_zuxuan_bd,baodan,8
ssc_std,longhu,lh_wanqian_he,万千龙虎和,ssc_std:longhu:lh_wanqian_he,longhuhe,1
ssc_std,longhu,lh_wanqian_dou,万千龙虎斗,ssc_std:longhu:lh_wanqian_dou,longhu,2
ssc_std,longhu,lh_wanbai_he,万百龙虎和,ssc_std:longhu:lh_wanbai_he,longhuhe,3
ssc_std,longhu,lh_wanbai_dou,万百龙虎斗,ssc_std:longhu:lh_wanbai_dou,longhu,4
ssc_std,longhu,lh_wanshi_he,万十龙虎和,ssc_std:longhu:lh_wanshi_he,longhuhe,5
ssc_std,longhu,lh_wanshi_dou,万十龙虎斗,ssc_std:longhu:lh_wanshi_dou,longhu,6
ssc_std,longhu,lh_wange_he,万个龙虎和,ssc_std:longhu:lh_wange_he,longhuhe,7
ssc_std,longhu,lh_wange_dou,万个龙虎斗,ssc_std:longhu:lh_wange_dou,longhu,8
ssc_std,longhu,lh_qianbai_he,千百龙虎和,ssc_std:longhu:lh_qianbai_he,longhuhe,9
ssc_std,longhu,lh_qianbai_dou,千百龙虎斗,ssc_std:longhu:lh_qianbai_dou,longhu,10
ssc_std,longhu,lh_qianshi_he,千十龙虎和,ssc_std:longhu:lh_qianshi_he,longhuhe,11
ssc_std,longhu,lh_qianshi_dou,千十龙虎斗,ssc_std:longhu:lh_qianshi_dou,longhu,12
ssc_std,longhu,lh_qiange_he,千个龙虎和,ssc_std:longhu:lh_qiange_he,longhuhe,13
ssc_std,longhu,lh_qiange_dou,千个龙虎斗,ssc_std:longhu:lh_qiange_dou,longhu,14
ssc_std,longhu,lh_baishi_he,百十龙虎和,ssc_std:longhu:lh_baishi_he,longhuhe,15
ssc_std,longhu,lh_baishi_dou,百十龙虎斗,ssc_std:longhu:lh_baishi_dou,longhu,16
ssc_std,longhu,lh_baige_he,百个龙虎和,ssc_std:longhu:lh_baige_he,longhuhe,17
ssc_std,longhu,lh_baige_dou,百个龙虎斗,ssc_std:longhu:lh_baige_dou,longhu,18
ssc_std,longhu,lh_shige_he,十个龙虎和,ssc_std:longhu:lh_shige_he,longhuhe,19
ssc_std,longhu,lh_shige_dou,十个龙虎斗,ssc_std:longhu:lh_shige_dou,longhu,20
ssc_std,renxuan,ren2_zhixuan_fs,任二直选复式,ssc_std:renxuan:ren2_zhixuan_fs,fushi,1
ssc_std,renxuan,ren2_zhixuan_ds,任二直选单式,ssc_std:renxuan:ren2_zhixuan_ds,danshi,2
ssc_std,renxuan,ren2_zhixuan_hz,任二直选和值,ssc_std:renxuan:ren2_zhixuan_hz,hezhi,3
ssc_std,renxuan,ren2_zuxuan_fs,任二组选复式,ssc_std:renxuan:ren2_zuxuan_fs,fushi,4
ssc_std,renxuan,ren2_zuxuan_ds,任二组选单式,ssc_std:renxuan:ren2_zuxuan_ds,danshi,5
ssc_std,renxuan,ren2_zuxuan_hz,任二组选和值,ssc_std:renxuan:ren2_zuxuan_hz,hezhi,6
ssc_std,renxuan,ren3_zhixuan_fs,任三直选复式,ssc_std:renxuan:ren3_zhixuan_fs,fushi,7
ssc_std,renxuan,ren3_zhixuan_ds,任三直选单式,ssc_std:renxuan:ren3_zhixuan_ds,danshi,8
ssc_std,renxuan,ren3_zhixuan_hz,任三直选和值,ssc_std:renxuan:ren3_zhixuan_hz,hezhi,9
ssc_std,renxuan,ren3_zu3_fs,任三组三复式,ssc_std:renxuan:ren3_zu3_fs,fushi,10
ssc_std,renxuan,ren3_zu3_ds,任三组三单式,ssc_std:renxuan:ren3_zu3_ds,danshi,11
ssc_std,renxuan,ren3_zu6_fs,任三组六复式,ssc_std:renxuan:ren3_zu6_fs,fushi,12
ssc_std,renxuan,ren3_zu6_ds,任三组六单式,ssc_std:renxuan:ren3_zu6_ds,danshi,13
ssc_std,renxuan,ren3_hunhe_zx,任三混合组选,ssc_std:renxuan:ren3_hunhe_zx,hunhe,14
ssc_std,renxuan,ren3_zuxuan_hz,任三组选和值,ssc_std:renxuan:ren3_zuxuan_hz,hezhi,15
ssc_std,renxuan,ren4_zhixuan_fs,任选四直选复式,ssc_std:renxuan:ren4_zhixuan_fs,fushi,16
ssc_std,renxuan,ren4_zhixuan_ds,任选四直选单式,ssc_std:renxuan:ren4_zhixuan_ds,danshi,17
ssc_std,renxuan,ren4_zu24,任选四组选24,ssc_std:renxuan:ren4_zu24,zu24,18
ssc_std,renxuan,ren4_zu12,任选四组选12,ssc_std:renxuan:ren4_zu12,zu12,19
ssc_std,renxuan,ren4_zu6,任选四组选6,ssc_std:renxuan:ren4_zu6,zu6,20
ssc_std,qianzhonghou3,qzh3_zhixuan_fs,直选复式,ssc_std:qianzhonghou3:qzh3_zhixuan_fs,fushi,1
ssc_std,qianzhonghou3,qzh3_zhixuan_ds,直选单式,ssc_std:qianzhonghou3:qzh3_zhixuan_ds,danshi,2
ssc_std,qianzhonghou3,qzh3_zhixuan_hz,直选和值,ssc_std:qianzhonghou3:qzh3_zhixuan_hz,hezhi,3
ssc_std,qianzhonghou3,qzh3_zhixuan_kd,直选跨度,ssc_std:qianzhonghou3:qzh3_zhixuan_kd,kuadu,4
ssc_std,qianzhonghou3,qzh3_zuhe,组合,ssc_std:qianzhonghou3:qzh3_zuhe,zuhe,5
ssc_std,qianzhonghou3,qzh3_zu3,组三,ssc_std:qianzhonghou3:qzh3_zu3,zu3,6
ssc_std,qianzhonghou3,qzh3_zu6,组六,ssc_std:qianzhonghou3:qzh3_zu6,zu6,7
ssc_std,qianzhonghou3,qzh3_zuxuan_hz,组选和值,ssc_std:qianzhonghou3:qzh3_zuxuan_hz,hezhi,8
ssc_std,qianzhonghou3,qzh3_zuxuan_bd,组选包胆,ssc_std:qianzhonghou3:qzh3_zuxuan_bd,baodan,9
ssc_std,qianzhonghou3,qzh3_hunhe_zx,混合组选,ssc_std:qianzhonghou3:qzh3_hunhe_zx,hunhe,10
ssc_std,qianzhonghou3,qzh3_hz_weishu,和值尾数,ssc_std:qianzhonghou3:qzh3_hz_weishu,weishu,11
ssc_std,qianzhonghou3,qzh3_teshu,特殊号,ssc_std:qianzhonghou3:qzh3_teshu,teshu,12
ssc_std,qianhou3,qh3_zhixuan_fs,直选复式,ssc_std:qianhou3:qh3_zhixuan_fs,fushi,1
ssc_std,qianhou3,qh3_zhixuan_ds,直选单式,ssc_std:qianhou3:qh3_zhixuan_ds,danshi,2
ssc_std,qianhou3,qh3_zhixuan_hz,直选和值,ssc_std:qianhou3:qh3_zhixuan_hz,hezhi,3
ssc_std,qianhou3,qh3_zhixuan_kd,直选跨度,ssc_std:qianhou3:qh3_zhixuan_kd,kuadu,4
ssc_std,qianhou3,qh3_zuhe,组合,ssc_std:qianhou3:qh3_zuhe,zuhe,5
ssc_std,qianhou3,qh3_zu3,组三,ssc_std:qianhou3:qh3_zu3,zu3,6
ssc_std,qianhou3,qh3_zu6,组六,ssc_std:qianhou3:qh3_zu6,zu6,7
ssc_std,qianhou3,qh3_zuxuan_hz,组选和值,ssc_std:qianhou3:qh3_zuxuan_hz,hezhi,8
ssc_std,qianhou3,qh3_zuxuan_bd,组选包胆,ssc_std:qianhou3:qh3_zuxuan_bd,baodan,9
ssc_std,qianhou3,qh3_hunhe_zx,混合组选,ssc_std:qianhou3:qh3_hunhe_zx,hunhe,10
ssc_std,qianhou3,qh3_hz_weishu,和值尾数,ssc_std:qianhou3:qh3_hz_weishu,weishu,11
ssc_std,qianhou3,qh3_teshu,特殊号,ssc_std:qianhou3:qh3_teshu,teshu,12
ssc_std,budingwei,qian3_1ma,前三一码不定位,ssc_std:budingwei:qian3_1ma,budingwei,1
ssc_std,budingwei,qian3_2ma,前三二码不定位,ssc_std:budingwei:qian3_2ma,budingwei,2
ssc_std,budingwei,zhong3_1ma,中三一码不定位,ssc_std:budingwei:zhong3_1ma,budingwei,3
ssc_std,budingwei,zhong3_2ma,中三二码不定位,ssc_std:budingwei:zhong3_2ma,budingwei,4
ssc_std,budingwei,hou3_1ma,后三一码不定位,ssc_std:budingwei:hou3_1ma,budingwei,5
ssc_std,budingwei,hou3_2ma,后三二码不定位,ssc_std:budingwei:hou3_2ma,budingwei,6
ssc_std,budingwei,qian4_1ma,前四一码不定位,ssc_std:budingwei:qian4_1ma,budingwei,7
ssc_std,budingwei,qian4_2ma,前四二码不定位,ssc_std:budingwei:qian4_2ma,budingwei,8
ssc_std,budingwei,hou4_1ma,后四一码不定位,ssc_std:budingwei:hou4_1ma,budingwei,9
ssc_std,budingwei,hou4_2ma,后四二码不定位,ssc_std:budingwei:hou4_2ma,budingwei,10
ssc_std,budingwei,wuxing_1ma,五星一码不定位,ssc_std:budingwei:wuxing_1ma,budingwei,11
ssc_std,budingwei,wuxing_2ma,五星二码不定位,ssc_std:budingwei:wuxing_2ma,budingwei,12
ssc_std,budingwei,wuxing_3ma,五星三码不定位,ssc_std:budingwei:wuxing_3ma,budingwei,13
ssc_std,combo24,qh2_zhixuan_fs,前后二直选复式,ssc_std:combo24:qh2_zhixuan_fs,fushi,1
ssc_std,combo24,qh2_zhixuan_ds,前后二直选单式,ssc_std:combo24:qh2_zhixuan_ds,danshi,2
ssc_std,combo24,qh2_zhixuan_hz,前后二直选和值,ssc_std:combo24:qh2_zhixuan_hz,hezhi,3
ssc_std,combo24,qh2_zhixuan_kd,前后二直选跨度,ssc_std:combo24:qh2_zhixuan_kd,kuadu,4
ssc_std,combo24,qh2_zuxuan_fs,前后二组选复式,ssc_std:combo24:qh2_zuxuan_fs,fushi,5
ssc_std,combo24,qh2_zuxuan_ds,前后二组选单式,ssc_std:combo24:qh2_zuxuan_ds,danshi,6
ssc_std,combo24,qh2_zuxuan_hz,前后二组选和值,ssc_std:combo24:qh2_zuxuan_hz,hezhi,7
ssc_std,combo24,qh2_zuxuan_bd,前后二组选包胆,ssc_std:combo24:qh2_zuxuan_bd,baodan,8
ssc_std,combo24,qh4_zhixuan_fs,前后四直选复式,ssc_std:combo24:qh4_zhixuan_fs,fushi,9
ssc_std,combo24,qh4_zhixuan_ds,前后四直选单式,ssc_std:combo24:qh4_zhixuan_ds,danshi,10
ssc_std,combo24,qh4_zhixuan_zh,前后四直选组合,ssc_std:combo24:qh4_zhixuan_zh,zuhe,11
ssc_std,combo24,qh4_zu24,前后四组选24,ssc_std:combo24:qh4_zu24,zu24,12
ssc_std,combo24,qh4_zu12,前后四组选12,ssc_std:combo24:qh4_zu12,zu12,13
ssc_std,combo24,qh4_zu6,前后四组选6,ssc_std:combo24:qh4_zu6,zu6,14
ssc_std,combo24,qh4_zu4,前后四组选4,ssc_std:combo24:qh4_zu4,zu4,15
ssc_std,sixing,sixing_zhixuan_fs,四星直选复式,ssc_std:sixing:sixing_zhixuan_fs,fushi,1
ssc_std,sixing,sixing_zhixuan_ds,四星直选单式,ssc_std:sixing:sixing_zhixuan_ds,danshi,2
ssc_std,sixing,sixing_zhixuan_zh,四星直选组合,ssc_std:sixing:sixing_zhixuan_zh,zuhe,3
ssc_std,sixing,sixing_zu24,四星组选24,ssc_std:sixing:sixing_zu24,zu24,4
ssc_std,sixing,sixing_zu12,四星组选12,ssc_std:sixing:sixing_zu12,zu12,5
ssc_std,sixing,sixing_zu6,四星组选6,ssc_std:sixing:sixing_zu6,zu6,6
ssc_std,sixing,sixing_zu4,四星组选4,ssc_std:sixing:sixing_zu4,zu4,7
ssc_std,wuxing,wuxing_zhixuan_fs,五星直选复式,ssc_std:wuxing:wuxing_zhixuan_fs,fushi,1
ssc_std,wuxing,wuxing_zhixuan_ds,五星直选单式,ssc_std:wuxing:wuxing_zhixuan_ds,danshi,2
ssc_std,wuxing,wuxing_zhixuan_zh,五星直选组合,ssc_std:wuxing:wuxing_zhixuan_zh,zuhe,3
ssc_std,wuxing,wuxing_zu120,五星组选120,ssc_std:wuxing:wuxing_zu120,zu120,4
ssc_std,wuxing,wuxing_zu60,五星组选60,ssc_std:wuxing:wuxing_zu60,zu60,5
ssc_std,wuxing,wuxing_zu30,五星组选30,ssc_std:wuxing:wuxing_zu30,zu30,6
ssc_std,wuxing,wuxing_zu20,五星组选20,ssc_std:wuxing:wuxing_zu20,zu20,7
ssc_std,wuxing,wuxing_zu10,五星组选10,ssc_std:wuxing:wuxing_zu10,zu10,8
ssc_std,wuxing,wuxing_zu5,五星组选5,ssc_std:wuxing:wuxing_zu5,zu5,9
ssc_std,wuxing,wuxing_yifan,五星一帆风顺,ssc_std:wuxing:wuxing_yifan,teshu,10
ssc_std,wuxing,wuxing_haoshi,五星好事成双,ssc_std:wuxing:wuxing_haoshi,teshu,11
ssc_std,wuxing,wuxing_sanxing,五星三星报喜,ssc_std:wuxing:wuxing_sanxing,teshu,12
ssc_std,wuxing,wuxing_siji,五星四季发财,ssc_std:wuxing:wuxing_siji,teshu,13
ssc_std,dxds,hou2_dxds,后二大小单双,ssc_std:dxds:hou2_dxds,dxds,1
ssc_std,dxds,hou3_dxds,后三大小单双,ssc_std:dxds:hou3_dxds,dxds,2
ssc_std,dxds,qian2_dxds,前二大小单双,ssc_std:dxds:qian2_dxds,dxds,3
ssc_std,dxds,qian3_dxds,前三大小单双,ssc_std:dxds:qian3_dxds,dxds,4
ssc_std,dxds,wuxing_hz_ds,五星和值单双,ssc_std:dxds:wuxing_hz_ds,danshuang,5
ssc_std,dxds,wuxing_hz_dx,五星和值大小,ssc_std:dxds:wuxing_hz_dx,daxiao,6
